,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint Anthony,1,US,1562259940,59,43.97,-111.68,64.0,4.7
1,Dawei,100,MM,1562259941,83,14.07,98.19,80.87,22.86
2,Punta Arenas,40,CL,1562259942,74,-53.16,-70.91,33.8,10.29
3,Atuona,30,PF,1562259944,68,-9.8,-139.03,79.97,8.14
4,Hithadhoo,100,MV,1562259748,77,-0.6,73.08,84.47,12.39
5,Rikitea,66,PF,1562259946,67,-23.12,-134.97,66.83,24.27
6,Tiksi,100,RU,1562259947,90,71.64,128.87,35.51,5.21
7,Liku,98,ID,1562259948,77,-0.73,119.89,81.23,4.41
8,Balagansk,0,RU,1562259949,57,54.01,103.05,54.95,3.49
9,Marsh Harbour,100,BS,1562259950,67,26.54,-77.06,84.47,4.97
10,Port Alfred,0,ZA,1562259952,91,-33.59,26.89,57.0,1.99
11,Ushuaia,0,AR,1562259953,92,-54.81,-68.31,28.4,5.82
12,Coahuayana,100,MX,1562259954,68,18.62,-100.35,85.01,1.83
13,Kapaa,20,US,1562259723,88,22.08,-159.32,75.2,4.7
14,Cherskiy,99,RU,1562259956,60,68.75,161.3,49.91,5.48
15,Zyryanka,99,RU,1562259957,96,65.73,150.89,48.65,6.73
16,Waverly,1,US,1562259958,59,37.04,-77.1,95.0,4.7
17,Udachnyy,90,RU,1562259959,77,66.42,112.4,59.0,4.47
18,Huarmey,49,PE,1562259961,84,-10.07,-78.15,63.23,10.51
19,Champerico,40,MX,1562259962,54,16.38,-93.6,84.2,3.36
20,Hermanus,100,ZA,1562259963,63,-34.42,19.24,64.99,10.0
21,Coihaique,20,CL,1562259964,93,-45.58,-72.07,39.2,2.24
22,Mataura,60,NZ,1562259965,95,-46.19,168.86,41.0,3.8
23,Haines Junction,5,CA,1562259966,50,60.75,-137.51,65.39,4.54
24,Caloundra,20,AU,1562259968,93,-26.8,153.14,60.8,6.93
25,Puerto Madero,0,AR,1562259969,49,-34.61,-58.36,48.99,10.29
26,Jamestown,0,AU,1562259970,80,-33.21,138.6,49.73,12.57
27,Ponta do Sol,54,BR,1562259971,49,-20.63,-46.0,73.31,11.1
28,Belmonte,64,PT,1562259972,29,40.36,-7.35,77.0,8.72
29,Cabo San Lucas,5,MX,1562259960,48,22.89,-109.91,93.99,3.36
30,New Norfolk,0,AU,1562259974,93,-42.78,147.06,41.0,8.05
31,Cervo,75,BR,1562259976,56,-22.19,-46.24,69.8,7.05
32,Port Hedland,0,AU,1562259899,93,-20.31,118.58,60.8,3.36
33,Corinto,40,CO,1562259978,54,3.17,-76.26,84.2,3.36
34,Thompson,90,CA,1562259979,87,55.74,-97.86,51.8,12.75
35,Vardo,75,US,1562259980,70,39.62,-77.74,91.99,5.82
36,Tala,40,MX,1562259981,53,20.65,-103.7,79.0,4.7
37,Dzaoudzi,0,YT,1562259982,78,-12.79,45.27,77.0,8.05
38,Bredasdorp,100,ZA,1562259984,52,-34.53,20.04,66.2,12.75
39,Ballina,75,IE,1562259985,63,54.11,-9.15,60.8,9.17
40,Mount Gambier,2,AU,1562259963,100,-37.83,140.78,41.0,4.7
41,Todos Santos,5,MX,1562259987,48,23.45,-110.23,93.99,3.36
42,Saint-Pierre,0,FR,1562259988,28,48.95,4.24,84.2,11.41
43,Cape Town,75,ZA,1562259956,67,-33.93,18.42,61.0,10.29
44,General Roca,75,AR,1562259990,86,-39.03,-67.58,41.0,3.36
45,San Luis,89,AR,1562259992,37,-33.3,-66.34,54.05,11.12
46,Avarua,61,CK,1562259993,88,-21.21,-159.78,66.2,16.11
47,Ilulissat,20,GL,1562259873,57,69.22,-51.1,50.0,6.93
48,Nanortalik,2,GL,1562259995,72,60.14,-45.24,43.61,5.86
49,Mahebourg,40,MU,1562259996,78,-20.41,57.7,71.6,9.17
50,Bafq,0,IR,1562259997,13,31.6,55.4,86.45,9.57
51,Saskylakh,77,RU,1562259998,86,71.97,114.09,47.75,11.25
52,Kalabo,0,ZM,1562260000,37,-15.0,22.67,68.27,4.97
53,Hilo,90,US,1562260001,88,19.71,-155.08,73.4,5.14
54,Port Elizabeth,56,US,1562260002,66,39.31,-74.98,93.0,8.05
55,Hailar,100,CN,1562260003,91,49.2,119.7,52.25,22.15
56,Sohag,0,EG,1562260004,11,26.55,31.7,100.4,23.04
